Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Curacao,Netherlands,3/23/2020,3,1,0,12.1696,-68.9900
Cayman Islands,United Kingdom,3/23/2020,3,1,0,19.3133,-81.2546
,Zambia,3/23/2020,3,0,0,-13.1339,27.8493
,Zimbabwe,3/23/2020,3,0,0,-19.0154,29.1549
,Angola,3/23/2020,2,0,0,-11.2027,17.8739
,Benin,3/23/2020,2,0,0,9.3077,2.3158
,Bhutan,3/23/2020,2,0,0,27.5142,90.4336
Prince Edward Island,Canada,3/23/2020,2,0,0,46.5107,-63.4168
,Fiji,3/23/2020,2,0,0,-17.7134,178.0650
,Guinea,3/23/2020,2,0,0,9.9456,-9.6966
,Haiti,3/23/2020,2,0,0,18.9712,-72.2852
,Kosovo,3/23/2020,2,0,0,42.6026,20.9030
,Mauritania,3/23/2020,2,0,0,21.0079,-10.9408
,Nepal,3/23/2020,2,0,1,28.3949,84.1240
,Nicaragua,3/23/2020,2,0,0,12.8654,-85.2072
,Niger,3/23/2020,2,0,0,17.6078,8.0817
,Saint Lucia,3/23/2020,2,0,0,13.9094,-60.9789
,Sudan,3/23/2020,2,1,0,12.8628,30.2176
Bermuda,United Kingdom,3/23/2020,2,0,0,32.3078,-64.7505
,Antigua and Barbuda,3/23/2020,1,0,0,17.0608,-61.7964
Northwest Territories,Canada,3/23/2020,1,0,0,64.8255,-124.8457
,Chad,3/23/2020,1,0,0,15.4542,18.7322
Tibet,China,3/23/2020,1,0,1,31.6927,88.0924
,Djibouti,3/23/2020,1,0,0,11.8251,42.5903
,Dominica,3/23/2020,1,0,0,15.4150,-61.3710
,Eritrea,3/23/2020,1,0,0,15.1794,39.7823
,"Gambia, The",3/23/2020,1,0,0,13.4432,-15.3101
,Grenada,3/23/2020,1,0,0,12.1165,-61.6790
,Holy See,3/23/2020,1,0,0,41.9029,12.4534
,Mozambique,3/23/2020,1,0,0,-18.6657,35.5296
Sint Maarten,Netherlands,3/23/2020,1,0,0,18.0425,-63.0548
,Papua New Guinea,3/23/2020,1,0,0,-6.3150,143.9555
,Saint Vincent and the Grenadines,3/23/2020,1,0,0,12.9843,-61.2872
,Somalia,3/23/2020,1,0,0,5.1521,46.1996
,Syria,3/23/2020,1,0,0,34.8021,38.9968
,Timor-Leste,3/23/2020,1,0,0,-8.8742,125.7275
US,US,3/23/2020,1,0,178,37.0902,-95.7129
,Uganda,3/23/2020,1,0,0,1.3733,32.2903
Montserrat,United Kingdom,3/23/2020,1,0,0,16.7425,-62.1874
From Diamond Princess,Australia,3/23/2020,0,0,0,35.4437,139.6380
,Cape Verde,3/23/2020,0,0,0,15.1111,-23.6167
,East Timor,3/23/2020,0,0,0,-8.5500,125.5600
French Guiana,France,3/23/2020,0,0,0,4.0000,-53.0000
Guadeloupe,France,3/23/2020,0,0,0,16.2500,-61.5833
Mayotte,France,3/23/2020,0,0,0,-12.8431,45.1383
Reunion,France,3/23/2020,0,0,0,-21.1351,55.2471
,Greenland,3/23/2020,0,0,0,72.0000,-40.0000
,Guam,3/23/2020,0,1,0,13.4443,144.7937
,Guernsey,3/23/2020,0,0,0,49.4500,-2.5800
,Jersey,3/23/2020,0,0,0,49.1900,-2.1100
,Puerto Rico,3/23/2020,0,1,0,18.2000,-66.5000
,Republic of the Congo,3/23/2020,0,0,0,-1.4400,15.5560
,The Bahamas,3/23/2020,0,0,0,24.2500,-76.0000
,The Gambia,3/23/2020,0,0,0,13.4667,-16.6000
KwaZulu Natal,,3/23/2020,60,0,0,-29.0000,31.0000
Gauteng,,3/23/2020,207,0,0,-26.0000,28.0000
Western Cape,,3/23/2020,100,0,0,-34.0000,20.0000
Eastern Cape,,3/23/2020,2,0,0,-32.0000,27.0000
Northern Cape,,3/23/2020,2,0,0,-30.0000,22.0000
Limpopo,,3/23/2020,4,0,0,-24.0000,29.0000
Mpumalanga,,3/23/2020,9,0,0,-26.0000,30.0000
North West,,3/23/2020,4,0,0,-27.0000,26.0000
Free State,,3/23/2020,13,0,0,-28.0000,27.0000
